id,language,text,asset_path,type,duration_ms,sample_rate,channels,peak_db,loudness,status,used_by,notes
vi_letter_a_name,vi,a,assets/audio/vi/letters/a_name.wav,letter,577,22050,1,-3.46,-18.74,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_a_sound,vi,a,assets/audio/vi/letters/a_sound.wav,letter,588,22050,1,-3.46,-17.88,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_aw_name,vi,ă,assets/audio/vi/letters/aw_name.wav,letter,461,22050,1,-3.46,-20.56,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_aw_sound,vi,ă,assets/audio/vi/letters/aw_sound.wav,letter,496,22050,1,-3.46,-19.51,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_aa_name,vi,â,assets/audio/vi/letters/aa_name.wav,letter,496,22050,1,-3.46,-20.04,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_aa_sound,vi,â,assets/audio/vi/letters/aa_sound.wav,letter,507,22050,1,-3.46,-18.41,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_b_name,vi,bê,assets/audio/vi/letters/b_name.wav,letter,554,22050,1,-3.46,-17.74,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_b_sound,vi,bờ,assets/audio/vi/letters/b_sound.wav,letter,623,22050,1,-3.46,-16.85,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_c_name,vi,xê,assets/audio/vi/letters/c_name.wav,letter,542,22050,1,-3.46,-19.71,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_c_sound,vi,cờ,assets/audio/vi/letters/c_sound.wav,letter,577,22050,1,-3.46,-16.31,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_d_name,vi,dê,assets/audio/vi/letters/d_name.wav,letter,519,22050,1,-3.46,-18.89,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_d_sound,vi,dờ,assets/audio/vi/letters/d_sound.wav,letter,612,22050,1,-3.46,-18.26,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_dd_name,vi,đê,assets/audio/vi/letters/dd_name.wav,letter,565,22050,1,-3.46,-17.77,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_dd_sound,vi,đờ,assets/audio/vi/letters/dd_sound.wav,letter,647,22050,1,-3.46,-16.31,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_e_name,vi,e,assets/audio/vi/letters/e_name.wav,letter,542,22050,1,-3.46,-18.89,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_e_sound,vi,e,assets/audio/vi/letters/e_sound.wav,letter,519,22050,1,-3.46,-18.38,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_ee_name,vi,ê,assets/audio/vi/letters/ee_name.wav,letter,530,22050,1,-3.46,-18.49,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_ee_sound,vi,ê,assets/audio/vi/letters/ee_sound.wav,letter,519,22050,1,-3.46,-19.0,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_g_name,vi,giê,assets/audio/vi/letters/g_name.wav,letter,588,22050,1,-3.46,-17.24,VALID,assets/content/vietnamese/alphabet.json,ok
vi_letter_g_sound,vi,gờ,assets/audio/vi/letters/g_sound.wav,letter,658,22050,1,-3.46,-16.01,VALID,assets/content/vietnamese/alphabet.json,ok
